0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
11,0.066875,0.19,0.193625,0.071375,-0.104875,-0.05725,-0.0295,0.071,0.134625,0.0715,0.001625,-0.09975,-0.08825,-0.138375,0.082,0.1935,0.173875,0.058,-0.129375,-0.0325,0.015,0.064625,0.077,0.014375,-0.021625,-0.06425,0.07575,0.22,-0.011,-0.1065,-0.166375,-0.085,0.082625,0.138125,0.173875,-0.080625,-0.22225,-0.199625,-0.071375,0.1785,0.087375,0.050375,-0.074625,-0.13525,-0.06225,0.000625,0.128125,-0.01175,-0.079875,-0.005375,0.0505,0.1285,0.07675,-0.017875,-0.088,-0.1275,-0.003,0.004625,0.009125,0.001875,0.00275,0.00325,-0.00075,0.004625,-0.009625,-0.00225,-0.0025,0.0015,0.00325,-0.0005,-0.00275,0.001125,0.003,-0.001625,0.002375,-0.00025,0.000125,0.0005,-0.011875,0.0015,-0.002375,-0.00275,-0.001875,0.265,-0.002375,0.001375,-0.00025,-0.001875,-0.00125,-0.002125,0.000625,0.002375,0.00625,0.0015,-0.000875,-0.003,-0.001125,-0.00025,0.0035,0.000625,-0.0005,0.001125,0.00075,0.00525,0.0015,-0.00125,0.00025,-0.003125,0.0015,0.0055,-0.003375,-0.002
12,-0.028125,0.019875,0.08225,0.059625,0.01825,-0.07875,-0.127375,0.0525,0.171125,0.187375,0.07225,-0.11125,-0.06475,-0.10725,-0.002625,0.065125,0.125375,0.069,-0.02375,-0.0835,-0.11775,0.06525,0.15675,0.187625,0.069625,-0.11675,-0.052875,-0.039625,0.07425,0.1305,0.068125,0.003,-0.091875,0.0485,0.118125,0.01075,-0.05,-0.119625,-0.068,0.04325,0.120125,0.157,-0.06225,-0.187,-0.201375,-0.07775,0.149875,0.062625,0.087375,-0.07875,-0.165875,-0.107375,-0.023,0.10875,0.008,-0.062,-0.004,-0.002125,0.003125,0.006625,0.000875,0.00275,-0.001125,-0.002,-0.015625,-0.003875,-0.00225,0.00225,0.006875,0.006625,0.002625,0.002875,0.000625,-0.005625,-0.005125,-0.0075,0.005375,0.000875,-0.014375,0.01725,0.003,-0.003375,-0.006375,-0.053125,-0.01075,-0.002125,0.00375,0.00575,0.003375,0.004875,0.002,-0.003625,-0.003,-0.003875,-0.003125,0.000625,0.0015,0.004,0.00625,-0.0025,-0.004125,-0.004875,-0.00725,-0.003875,-0.000375,0.0095,0.00575,0.008375,0.0035,0.003875,-0.005375,-0.004
13,-0.01825,-0.1525,-0.211375,-0.107,0.06875,0.139,0.1715,-0.094125,-0.26275,-0.2405,-0.07775,0.197125,0.061875,0.007125,-0.092375,-0.19575,-0.242875,-0.107125,0.129125,0.127625,0.13225,-0.10825,-0.20725,-0.204125,-0.059625,0.1795,0.031125,-0.054125,-0.06675,-0.07475,0.02225,0.0455,0.06625,-0.105,-0.192375,0.034,0.168875,0.225625,0.1055,-0.123,-0.14425,-0.15775,0.101875,0.246875,0.221125,0.07,-0.1975,-0.038875,-0.010375,0.07425,0.1165,0.01425,-0.0315,-0.079,0.07225,0.1665,0.008375,-0.001625,-0.012875,-0.01075,-0.0045,-0.0015,0.003375,0.00775,0.024,0.005125,0.005,-0.00625,-0.010875,-0.006625,-0.006375,-0.006625,-0.004,0.007,0.009375,0.012125,-0.00575,0.000875,0.025875,-0.0195,-0.00475,0.003,0.0085,-0.059625,0.006,0.003,-0.00325,-0.007875,-0.00375,-0.0075,-0.003375,0.002625,0,0.00575,0.0055,0.000125,-0.0055,-0.005625,-0.010875,-0.004625,0.0015,0.007125,0.006875,0.002875,-0.000125,-0.010375,-0.00425,-0.01225,0.00125,-0.001875,0.010125,0.0065
14,-0.011375,-0.1575,-0.237125,-0.123625,0.0675,0.16375,0.209875,-0.110375,-0.31225,-0.294,-0.098,0.232875,0.083375,0.028625,-0.116,-0.2165,-0.280125,-0.128625,0.1385,0.154125,0.16875,-0.12725,-0.2525,-0.259125,-0.0785,0.215125,0.049875,-0.037125,-0.0875,-0.112625,0.002125,0.044625,0.095375,-0.113875,-0.220875,0.031,0.18075,0.257125,0.1235,-0.13,-0.173625,-0.196375,0.1185,0.296375,0.27325,0.090875,-0.23425,-0.051125,-0.02775,0.096125,0.159125,0.042,-0.028875,-0.101,0.07525,0.188375,0.002,-0.010375,-0.011875,-0.007625,-0.003375,0.0005,0.004625,0.01,0.02425,0.000875,0.00075,-0.007625,-0.009375,-0.00525,-0.0005,-0.001625,0.00025,0.01025,0.0045,0.007875,-0.011375,-0.00425,0.02675,-0.02,0,0.007875,0.011375,-0.0385,0.003875,-0.001375,-0.006875,-0.00775,-0.003375,0.0015,-0.00075,0.006,0.000125,0.00075,0.0015,-2.78E-17,-0.004625,-0.004375,-0.004125,0.00475,0.005,0.00575,0.005625,-0.0045,-0.005375,-0.011125,-0.005875,-0.005125,0.004375,0.00225,0.0115,0.00475
15,0.06325,0.013625,-0.08575,-0.0815,-0.044375,0.1325,0.223625,-0.0675,-0.254,-0.3,-0.123125,0.177625,0.143125,0.170125,-0.134375,-0.279,-0.2095,-0.101,0.0165,0.148125,0.2165,-0.092375,-0.24025,-0.316625,-0.124125,0.191625,0.129625,0.161375,-0.126125,-0.256,-0.17025,-0.031375,0.197,-0.0185,-0.120375,-0.044375,0.004875,0.131125,0.08825,0.001375,-0.1545,-0.225625,0.0775,0.2605,0.303875,0.126375,-0.19475,-0.09,-0.151125,0.122875,0.277875,0.209125,0.053,-0.166625,-0.01825,0.08675,0.003625,0.004375,0.000125,-0.001875,-0.00075,-0.007,-0.000625,0.0015,0.01725,0.004125,0.009125,-0.0015,0.00025,-0.004125,-0.00475,-0.00725,-0.005125,0.001625,0.0015,0.0075,-0.010625,0.0025,0.03425,-0.022625,-0.003375,0.00225,0.001375,0.19475,0.0035,0.002,-0.00225,2.22E-16,-0.004125,-0.002875,-0.00325,0.001125,0.001,0.002875,0.00375,0.003125,0.002375,-0.00325,-0.004625,0,-0.003,0.00125,0.007875,-0.00175,-0.0005,-0.0055,-0.001,-0.006625,-0.00975,0.005625,-0.000375,0.0015
16,0.057625,0.029875,-0.05075,-0.059375,-0.04725,0.100125,0.177,-0.044625,-0.193125,-0.236,-0.09975,0.13425,0.116625,0.14925,-0.11,-0.231,-0.180875,-0.07725,0.000875,0.11575,0.176875,-0.068375,-0.18625,-0.25575,-0.102625,0.148125,0.109625,0.148375,-0.101,-0.21725,-0.153375,-0.032625,0.16525,-0.00425,-0.086,-0.04375,-0.013,0.088,0.065875,0.015375,-0.118875,-0.18175,0.056125,0.198,0.24425,0.102875,-0.147,-0.0755,-0.134375,0.098875,0.23125,0.18275,0.051125,-0.139125,-0.026875,0.056125,0.0025,-0.003625,-0.007375,-0.008,-0.001875,0,0.00425,0.011,0.01825,0.003625,0.002,-0.00625,-0.013625,-0.005125,0.005375,-0.0005,0.001125,0.008375,0.009,0.009,-0.009375,-0.004125,0.024875,-0.02375,-0.004375,0.004125,0.0085,0.1865,0.00525,0.002125,-0.006375,-0.010125,-0.005375,-0.004875,-0.000625,0.008,0.009125,0.003125,0.00275,-0.000625,-0.00625,-0.004875,-0.006125,-0.0045,0.002125,0.008375,0.007,-0.001125,-0.004,-0.012,-0.0075,-0.0195,0.001125,-0.00775,0.008375,0.003875
17,-0.010375,0.064125,0.120125,0.073125,-0.008875,-0.08875,-0.129625,0.062,0.19375,0.19425,0.069375,-0.130875,-0.0535,-0.029125,0.079625,0.134,0.067,-0.00125,-0.095125,-0.08825,-0.10975,0.076625,0.1615,0.18075,0.06,-0.125375,-0.035,0.01,0.06525,0.09875,0.026625,-0.017625,-0.070375,0.074625,0.14775,-0.008375,-0.096875,-0.156375,-0.079875,0.079125,0.129875,0.156875,-0.075125,-0.199625,-0.202625,-0.07225,0.172625,0.052625,0.060375,-0.07475,-0.142125,-0.07225,-0.000125,0.096625,-0.016125,-0.091,-0.003875,0.001375,0.0075,0.0035,0.0025,0.004375,0.000875,-0.001625,-0.01525,-0.003,-0.00575,0.002375,0.01075,0.0075,0.003375,0.004125,-0.000375,-0.0065,-0.004625,-0.00475,0.00575,-0.001125,-0.023375,0.013125,0.0015,-0.002875,-0.002125,0.013125,-0.003125,-0.00175,0.001,0.001375,0.00175,0.004,0.002875,-0.00025,0.002125,-0.001125,-0.004875,-0.00125,-0.00275,0.002375,0.004125,0.0045,0.002625,-0.00175,-0.011375,-0.000125,0.000125,0.001625,0.003375,0.0015,0.006,0.001,-0.003625,-0.003625
18,-0.09175,-0.168,-0.12,-0.016375,0.131625,0.004,-0.063,-0.026,0.014875,0.087125,0.05725,0.011125,-0.079,-0.157125,0.052875,0.168,0.183375,0.0735,-0.103625,-0.06925,-0.079625,-0.007375,0.049125,0.13925,0.076,-0.017,-0.09475,-0.20825,0.069625,0.197625,0.197625,0.0745,-0.13575,-0.0635,-0.037625,0.077,0.151125,0.06275,-0.001125,-0.100625,0.04975,0.113875,0.007125,-0.057875,-0.136625,-0.0765,0.03925,0.075625,0.177,-0.068375,-0.206625,-0.224125,-0.092,0.11375,0.10875,0.08275,-0.003125,-0.010375,-0.00225,0.00025,-0.00375,0.007875,0.000625,0.001375,-0.00225,-0.0045,-0.00775,-0.002875,-0.00775,-0.006125,0.005375,0.004375,0.005125,-0.002625,-0.0025,-0.011125,-0.001125,-0.005,-0.012625,0.011625,0.00625,0.00575,0.003875,-0.2555,-0.00625,-0.00575,-0.00025,0.0005,0.0045,0.00625,0.001375,0,-0.00375,-0.004375,-0.006125,0.00225,-0.000875,0.00225,0.00575,0.00825,0.003625,-0.001875,-0.003125,-0.0055,0,0.00075,-0.001125,0.00925,0.008,0.007625,0.002375,0.001625
19,0.043,0.044,0.007875,-0.013875,-0.039625,0.030125,0.06875,-0.0085,-0.06925,-0.101625,-0.042,0.04125,0.05625,0.083,-0.042375,-0.121875,-0.108625,-0.02975,0.077,0.02475,-0.00725,-0.04075,-0.06825,-0.1085,-0.048875,0.046125,0.0565,0.095875,-0.04425,-0.126625,-0.105625,-0.0275,0.081875,0.0195,-0.0065,-0.03575,-0.044375,0.0085,0.018125,0.032,-0.041125,-0.07175,0.016,0.0685,0.101625,0.0465,-0.046125,-0.03575,-0.073,0.046,0.11275,0.107625,0.03725,-0.056625,-0.0265,0.002,0.00075,0.01075,0.016125,0.015625,0.006,-0.010875,-0.008875,-0.02175,-0.008,0.0045,0.014125,0.00975,0.022375,0.016,-0.007625,-0.01475,-0.01925,-0.0115,-0.001,0.0185,0.01325,0.019125,0.021875,0.00175,0.004,-0.00475,-0.020125,0.10225,-0.00875,0.00025,0.012625,0.01675,0.004875,0.004,-0.0055,-0.018375,-0.012875,-0.00575,0.00325,0.0055,0.02125,0.007375,0.005,-0.0035,-0.014875,-0.017625,-0.011875,0.001375,0.00625,0.018,0.012375,-0.00375,-0.007,-0.003625,-0.02075,-0.00825
20,0.092125,0.12575,0.042375,-0.02425,-0.105875,0.0635,0.15525,-0.012125,-0.127875,-0.2015,-0.098125,0.078375,0.13025,0.2045,-0.103125,-0.254,-0.236375,-0.080625,0.183,0.067375,0.013625,-0.0895,-0.146625,-0.2485,-0.112625,0.10825,0.13775,0.2375,-0.107875,-0.2655,-0.227875,-0.072375,0.197375,0.050875,-0.01675,-0.0795,-0.11375,0.001,0.03525,0.089125,-0.091625,-0.170625,0.024875,0.146625,0.223,0.10725,-0.10075,-0.086625,-0.184875,0.09875,0.263875,0.248125,0.09025,-0.154875,-0.078875,-0.013,-0.003375,0.00925,0.01125,0.01025,0.00425,-0.001875,-0.003625,-0.014875,0.00075,0.00125,0.00725,0.005125,0.01425,0.0035,0.004625,-0.008625,-0.0155,-0.00975,0.00025,0.009875,0.005125,0.013,0.02775,-0.010625,0.00275,0.00025,-0.008,0.28025,-0.005875,-0.000625,0.002125,0.00775,0.00375,0.004375,-0.001,-0.003875,0.00025,-0.0045,-0.000625,0,0.01075,0.00325,0.0035,-0.000125,-0.008,-0.00825,-0.003,-0.005375,-0.0005,0.001375,0.00675,-0.008125,-0.005375,-0.01225,-0.013875,-0.005
